dataset,scope,trace,comparison,metric,better_when,n,mean,std,ci95_half_width,ci95_low,ci95_high,ci95_excludes_zero
validation,per_trace,validation_mixed,standard_minus_static,rebuffering_rate_percent,lower,5,-15.526409332413786,0.7456161961170411,0.9256563670015263,-16.452065699415314,-14.60075296541226,True
validation,per_trace,validation_mixed,standard_minus_static,average_bitrate_kbps,higher,5,383.33333333333337,60.092521257733125,74.60275836425588,308.7305749690775,457.93609169758923,True
validation,per_trace,validation_mixed,standard_minus_static,buffer_mean_s,descriptive,5,-1.4702913376357043,0.355128087129234,0.44087906977364966,-1.911170407409354,-1.0294122678620545,True
validation,per_trace,validation_mixed,standard_minus_static,buffer_std_s,lower,5,-1.3169569096682647,0.17180723087620012,0.21329265376163026,-1.530249563429895,-1.1036642559066345,True
validation,per_trace,validation_mixed,robust_minus_static,startup_delay_s,lower,5,0.8018433179723502,0.552250842858531,0.6856000601061449,0.11624325786620526,1.487443378078495,True
validation,per_trace,validation_mixed,robust_minus_static,rebuffering_s,lower,5,-12.821944331012997,1.8605326289595574,2.309786030640572,-15.131730361653569,-10.512158300372425,True
validation,per_trace,validation_mixed,robust_minus_static,rebuffering_rate_percent,lower,5,-21.369907218354996,3.1008877149325964,3.849643384400954,-25.21955060275595,-17.52026383395404,True
validation,per_trace,validation_mixed,robust_minus_static,average_bitrate_kbps,higher,5,123.33333333333334,118.7901978747031,147.47386600871206,-24.140532675378722,270.8071993420454,False
validation,per_trace,validation_mixed,robust_minus_static,buffer_mean_s,descriptive,5,1.377358736291036,1.1567621473103902,1.436079651086522,-0.05872091479548591,2.813438387377558,False
validation,per_trace,validation_mixed,robust_minus_static,buffer_std_s,lower,5,-0.7752844488464824,0.3842599439695701,0.47704524871030074,-1.252329697556783,-0.29823920013618166,True
validation,per_trace,validation_mixed,robust_minus_standard,startup_delay_s,lower,5,-0.3940092165898617,0.5906218101449273,0.7332362707486034,-1.1272454873384652,0.3392270541587417,False
validation,per_trace,validation_mixed,robust_minus_standard,rebuffering_s,lower,5,-3.5060987315647267,1.6505878770556053,2.049146981582223,-5.55524571314695,-1.4569517499825038,True
validation,per_trace,validation_mixed,robust_minus_standard,rebuffering_rate_percent,lower,5,-5.843497885941211,2.7509797950926753,3.4152449693037044,-9.258742855244915,-2.428252916637507,True
validation,per_trace,validation_mixed,robust_minus_standard,average_bitrate_kbps,higher,5,-260.0,145.58311867948302,180.73633785772634,-440.7363378577263,-79.26366214227366,True
validation,per_trace,validation_mixed,robust_minus_standard,buffer_mean_s,descriptive,5,2.8476500739267405,1.0219419462630588,1.2687050981331438,1.5789449757935967,4.116355172059884,True
validation,per_trace,validation_mixed,robust_minus_standard,buffer_std_s,lower,5,0.5416724608217823,0.48161951658066393,0.5979137447882211,-0.05624128396643879,1.1395862056100035,False
validation,overall_per_seed,all_validation_traces,standard_minus_static,startup_delay_s,lower,5,1.0963364421618693,0.2651309894855897,0.32915082824760244,0.7671856139142669,1.4254872704094717,True
validation,overall_per_seed,all_validation_traces,standard_minus_static,rebuffering_s,lower,5,8.639177353208108,10.687228140357025,13.267819053874845,-4.628641700666737,21.906996407082953,False
validation,overall_per_seed,all_validation_traces,standard_minus_static,rebuffering_rate_percent,lower,5,14.398628922013511,17.81204690059504,22.113031756458074,-7.714402834444563,36.511660678471586,False
validation,overall_per_seed,all_validation_traces,standard_minus_static,average_bitrate_kbps,higher,5,610.0,237.8579174399895,295.2922654666803,314.7077345333197,905.2922654666803,True
validation,overall_per_seed,all_validation_traces,standard_minus_static,buffer_mean_s,descriptive,5,-2.2332923921727796,0.43740825360139707,0.5430270117973603,-2.77631940397014,-1.6902653803754193,True
validation,overall_per_seed,all_validation_traces,standard_minus_static,buffer_std_s,lower,5,-1.388886731749657,0.2611236094950001,0.3241758064835881,-1.713062538233245,-1.064710925266069,True
validation,overall_per_seed,all_validation_traces,robust_minus_static,startup_delay_s,lower,5,0.7347849340259207,0.5065467234168496,0.6288599981550903,0.1059249358708304,1.363644932181011,True
validation,overall_per_seed,all_validation_traces,robust_minus_static,rebuffering_s,lower,5,-11.030283676159026,5.06947701555953,6.293577984569378,-17.323861660728404,-4.736705691589648,True
validation,overall_per_seed,all_validation_traces,robust_minus_static,rebuffering_rate_percent,lower,5,-18.38380612693171,8.449128359265883,10.489296640948965,-28.873102767880674,-7.894509485982745,True
validation,overall_per_seed,all_validation_traces,robust_minus_static,average_bitrate_kbps,higher,5,156.66666666666669,125.6096245427785,155.93994513558383,0.726721531082859,312.60661180225054,True
validation,overall_per_seed,all_validation_traces,robust_minus_static,buffer_mean_s,descriptive,5,-0.06816991631212126,0.6734124987560155,0.8360180081094492,-0.9041879244215704,0.7678480917973279,False
validation,overall_per_seed,all_validation_traces,robust_minus_static,buffer_std_s,lower,5,-0.979249367806039,0.2452444482366407,0.3044623844871365,-1.2837117522931756,-0.6747869833189025,True
validation,overall_per_seed,all_validation_traces,robust_minus_standard,startup_delay_s,lower,5,-0.3615515081359484,0.5417270647713364,0.6725351585628935,-1.0340866666988417,0.3109836504269451,False
validation,overall_per_seed,all_validation_traces,robust_minus_standard,rebuffering_s,lower,5,-19.669461029367135,10.627345252458161,13.193476547976111,-32.862937577343246,-6.4759844813910235,True
validation,overall_per_seed,all_validation_traces,robust_minus_standard,rebuffering_rate_percent,lower,5,-32.78243504894523,17.71224208743027,21.98912757996019,-54.77156262890542,-10.793307468985041,True
validation,overall_per_seed,all_validation_traces,robust_minus_standard,average_bitrate_kbps,higher,5,-453.3333333333333,197.60721421828478,245.32242856199574,-698.6557618953291,-208.01090477133758,True
validation,overall_per_seed,all_validation_traces,robust_minus_standard,buffer_mean_s,descriptive,5,2.1651224758606586,0.6249426567331972,0.7758443985370826,1.389278077323576,2.9409668743977413,True
validation,overall_per_seed,all_validation_traces,robust_minus_standard,buffer_std_s,lower,5,0.4096373639436178,0.3943406428539398,0.4895600829571111,-0.07992271901349329,0.8991974469007289,False
