sequence,segment,representation_id,encoder_target_kbps,bitrate_kbps,duration_s,size_bytes,psnr_y_db,source_file,sha256
tears_of_steel,13,L0,1000,894,1,108376,44.486137,../encoded/full/tears_of_steel/bitrate_001000kbps/segment_0013.266,ce597665c4572b7f4ebe292c905aaf808f7b3cf2ba7aba359ad6f938c9d858c9
tears_of_steel,13,L1,2000,1487,1,159801,45.056349,../encoded/full/tears_of_steel/bitrate_002000kbps/segment_0013.266,39a2f7ebe89c82ad207ec3a8b239b15f11792314f9fae3b12d8e4144090de80f
tears_of_steel,13,L2,4000,2327,1,291176,45.627008,../encoded/full/tears_of_steel/bitrate_004000kbps/segment_0013.266,a8966a04996188e82bf2c5d806bd2dba51bdc1aacb2d9e7aa286f5c156c51abb
tears_of_steel,13,L3,8000,3593,1,467873,46.051289,../encoded/full/tears_of_steel/bitrate_008000kbps/segment_0013.266,488a29a9ef6f2741d42d71fc85753793a54c30c1a13c3d3e1fe66932002e9fcb
tears_of_steel,14,L0,1000,894,1,109007,43.980063,../encoded/full/tears_of_steel/bitrate_001000kbps/segment_0014.266,2d18190969fa8038014068ead3756873ba0cbde83ee1f5aa15892f0b1460dfcd
tears_of_steel,14,L1,2000,1487,1,173746,44.822145,../encoded/full/tears_of_steel/bitrate_002000kbps/segment_0014.266,c8be5c38db584726a6d21a684025795dade9a027760ab2175b737fc1bfa93bbc
tears_of_steel,14,L2,4000,2327,1,266984,45.376203,../encoded/full/tears_of_steel/bitrate_004000kbps/segment_0014.266,6883ba7dc32b50d17b3f06283ec5a68d2cbfc0fa6c86b0589f2cf38e7e419ee3
tears_of_steel,14,L3,8000,3593,1,413557,45.844408,../encoded/full/tears_of_steel/bitrate_008000kbps/segment_0014.266,1d20ee8162bcab6901104f010a59df8aae3e39511370214dfa34bce055979fa8
tears_of_steel,15,L0,1000,894,1,120110,45.184783,../encoded/full/tears_of_steel/bitrate_001000kbps/segment_0015.266,86d9d924b0ddfa5299093330ba656b0dd30ade88ede175e6abed0f6ea2f8326a
tears_of_steel,15,L1,2000,1487,1,180465,45.867000,../encoded/full/tears_of_steel/bitrate_002000kbps/segment_0015.266,1c27e26c73d56bc31a0e2f1c7bf7f675aaca9a4a93b907a0b8e4ab0df21e6f50
tears_of_steel,15,L2,4000,2327,1,351544,46.811658,../encoded/full/tears_of_steel/bitrate_004000kbps/segment_0015.266,e3f3975e11d1f0565849f789112a00503861fea576bfebb41bf8118ed6f17621
tears_of_steel,15,L3,8000,3593,1,563823,47.513827,../encoded/full/tears_of_steel/bitrate_008000kbps/segment_0015.266,ccd7121c683068afcb48e96641d78b3f9f101f4c4193ed901b8cd97e70c49c9d
tears_of_steel,16,L0,1000,894,1,138282,45.404647,../encoded/full/tears_of_steel/bitrate_001000kbps/segment_0016.266,760fa1f39e91051668bdf22b72ee556fae24d99c2bd8339a0d2dd7189e305d4d
tears_of_steel,16,L1,2000,1487,1,231996,46.282470,../encoded/full/tears_of_steel/bitrate_002000kbps/segment_0016.266,f818ddc7ff1019a7ed99cb9c3014ab5c0b37b58d48ce7731734125977865192e
tears_of_steel,16,L2,4000,2327,1,478199,47.389772,../encoded/full/tears_of_steel/bitrate_004000kbps/segment_0016.266,02be636c8be70cd6b748f4f4662239d1bb04b0a0738669cd515783cb7e9accec
tears_of_steel,16,L3,8000,3593,1,880662,48.529789,../encoded/full/tears_of_steel/bitrate_008000kbps/segment_0016.266,892c0bdd1591a18e101f2bd86e7a1ddc99b358987cde84666035c2a7b7135c2f
