scope,content,trace,baseline,metric,better_when,delta_definition,n,mean,std,ci95_half_width,ci95_low,ci95_high,ci95_excludes_zero
per_content_trace,elephants_dream,stage56_evaluation_mixed_start,static,mean_objective_reward,higher,q-learning_minus_static,10,-0.5084125443701849,0.1753393319983032,0.1254214878016257,-0.6338340321718106,-0.3829910565685592,True
per_content_trace,elephants_dream,stage56_evaluation_mixed_start,static,mean_quality_utility,higher,q-learning_minus_static,10,-0.2820690576293349,0.1207207327258434,0.08635241012053248,-0.36842146774986734,-0.1957166475088024,True
per_content_trace,elephants_dream,stage56_evaluation_mixed_start,static,mean_psnr_y_db,higher,q-learning_minus_static,10,-1.1268047983333311,0.4421903992140233,0.3163019793046452,-1.4431067776379765,-0.8105028190286859,True
per_content_trace,elephants_dream,stage56_evaluation_mixed_start,static,switch_count,lower,q-learning_minus_static,10,20.7,4.715223571935199,3.372833402348832,17.327166597651168,24.07283340234883,True
per_content_trace,elephants_dream,stage56_evaluation_mixed_start,static,high_representation_fraction_percent,descriptive,q-learning_minus_static,10,-52.833333333333336,10.859654633800844,7.767989222157531,-60.60132255549087,-45.065344111175804,True
per_content_trace,elephants_dream,stage56_evaluation_high_start,static,startup_delay_s,lower,q-learning_minus_static,10,0.0,0.0,0.0,0.0,0.0,False
per_content_trace,elephants_dream,stage56_evaluation_high_start,static,rebuffering_s,lower,q-learning_minus_static,10,0.0,0.0,0.0,0.0,0.0,False
per_content_trace,elephants_dream,stage56_evaluation_high_start,static,rebuffering_rate_percent,lower,q-learning_minus_static,10,0.0,0.0,0.0,0.0,0.0,False
per_content_trace,elephants_dream,stage56_evaluation_high_start,static,average_bitrate_kbps,higher,q-learning_minus_static,10,-415.1749999999999,380.8254259856614,272.4071717135991,-687.582171713599,-142.7678282864008,True
per_content_trace,elephants_dream,stage56_evaluation_high_start,static,average_payload_bitrate_kbps,higher,q-learning_minus_static,10,-180.85709333333313,269.834081019415,193.01426277457784,-373.87135610791097,12.157169441244719,False
