scope,trace,baseline,metric,better_when,delta_definition,n,mean,std,ci95_half_width,ci95_low,ci95_high,ci95_excludes_zero
per_trace,evaluation_challenging,throughput,mean_objective_reward,higher,q-learning_minus_throughput,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,throughput,switch_count,lower,q-learning_minus_throughput,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,throughput,high_representation_fraction_percent,descriptive,q-learning_minus_throughput,5,0.0,0.0,0.0,0.0,0.0,False
overall_per_seed,all_evaluation_traces,throughput,startup_delay_s,lower,q-learning_minus_throughput,5,0.0,0.0,0.0,0.0,0.0,False
overall_per_seed,all_evaluation_traces,throughput,rebuffering_s,lower,q-learning_minus_throughput,5,0.0,0.0,0.0,0.0,0.0,False
overall_per_seed,all_evaluation_traces,throughput,rebuffering_rate_percent,lower,q-learning_minus_throughput,5,0.0,0.0,0.0,0.0,0.0,False
overall_per_seed,all_evaluation_traces,throughput,average_bitrate_kbps,higher,q-learning_minus_throughput,5,2452.7711111111116,292.05175346794937,362.57201291954175,2090.1990981915696,2815.3431240306536,True
overall_per_seed,all_evaluation_traces,throughput,average_payload_bitrate_kbps,higher,q-learning_minus_throughput,5,2433.792385632386,322.22819891800566,400.03501199304117,2033.7573736393447,2833.8273976254272,True
overall_per_seed,all_evaluation_traces,throughput,buffer_mean_s,descriptive,q-learning_minus_throughput,5,-0.9657920001371444,0.03366481053021533,0.04179368202230182,-1.0075856821594462,-0.9239983181148426,True
overall_per_seed,all_evaluation_traces,throughput,buffer_std_s,lower,q-learning_minus_throughput,5,-0.6249166826274684,0.033117495873115646,0.04111421006375807,-0.6660308926912264,-0.5838024725637103,True
overall_per_seed,all_evaluation_traces,throughput,mean_objective_reward,higher,q-learning_minus_throughput,5,-0.04214412901056673,0.0075047509652101385,0.009316885215053933,-0.05146101422562066,-0.0328272437955128,True
overall_per_seed,all_evaluation_traces,throughput,switch_count,lower,q-learning_minus_throughput,5,1.7333333333333332,0.5477225575051662,0.6799783525966102,1.053354980736723,2.4133116859299433,True
overall_per_seed,all_evaluation_traces,throughput,high_representation_fraction_percent,descriptive,q-learning_minus_throughput,5,5.111111111111112,0.6085806194501848,0.7555315028851227,4.355579608225989,5.866642613996234,True
per_trace,evaluation_gradual,bola-basic,startup_delay_s,lower,q-learning_minus_bola-basic,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_gradual,bola-basic,rebuffering_s,lower,q-learning_minus_bola-basic,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_gradual,bola-basic,rebuffering_rate_percent,lower,q-learning_minus_bola-basic,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_gradual,bola-basic,average_bitrate_kbps,higher,q-learning_minus_bola-basic,5,959.780000000001,876.1552604038482,1087.7160387586252,-127.93603875862425,2047.4960387586261,False
per_trace,evaluation_gradual,bola-basic,average_payload_bitrate_kbps,higher,q-learning_minus_bola-basic,5,1058.9499192699209,966.684596754017,1200.1050359791234,-141.1551167092025,2259.0549552490443,False
per_trace,evaluation_gradual,bola-basic,buffer_mean_s,descriptive,q-learning_minus_bola-basic,5,-0.1106338567292184,0.10099443159064606,0.12538104606690553,-0.23601490279612392,0.014747189337687136,False
per_trace,evaluation_gradual,bola-basic,buffer_std_s,lower,q-learning_minus_bola-basic,5,-0.10883519722673811,0.09935248761934694,0.12334263019127424,-0.23217782741801235,0.014507432964536132,False
per_trace,evaluation_gradual,bola-basic,mean_objective_reward,higher,q-learning_minus_bola-basic,5,0.024663128352625564,0.022514252895630412,0.027950655645161797,-0.0032875272925362332,0.052613783997787364,False
per_trace,evaluation_gradual,bola-basic,switch_count,lower,q-learning_minus_bola-basic,5,-1.8,1.6431676725154984,2.0399350577898305,-3.8399350577898304,0.23993505778983049,False
per_trace,evaluation_gradual,bola-basic,high_representation_fraction_percent,descriptive,q-learning_minus_bola-basic,5,2.0000000000000004,1.825741858350554,2.2665945086553676,-0.26659450865536716,4.266594508655368,False
per_trace,evaluation_bursty,bola-basic,startup_delay_s,lower,q-learning_minus_bola-basic,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_bursty,bola-basic,rebuffering_s,lower,q-learning_minus_bola-basic,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_bursty,bola-basic,rebuffering_rate_percent,lower,q-learning_minus_bola-basic,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_bursty,bola-basic,average_bitrate_kbps,higher,q-learning_minus_bola-basic,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_bursty,bola-basic,average_payload_bitrate_kbps,higher,q-learning_minus_bola-basic,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_bursty,bola-basic,buffer_mean_s,descriptive,q-learning_minus_bola-basic,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_bursty,bola-basic,buffer_std_s,lower,q-learning_minus_bola-basic,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_bursty,bola-basic,mean_objective_reward,higher,q-learning_minus_bola-basic,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_bursty,bola-basic,switch_count,lower,q-learning_minus_bola-basic,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_bursty,bola-basic,high_representation_fraction_percent,descriptive,q-learning_minus_bola-basic,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,bola-basic,startup_delay_s,lower,q-learning_minus_bola-basic,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,bola-basic,rebuffering_s,lower,q-learning_minus_bola-basic,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,bola-basic,rebuffering_rate_percent,lower,q-learning_minus_bola-basic,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,bola-basic,average_bitrate_kbps,higher,q-learning_minus_bola-basic,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,bola-basic,average_payload_bitrate_kbps,higher,q-learning_minus_bola-basic,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,bola-basic,buffer_mean_s,descriptive,q-learning_minus_bola-basic,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,bola-basic,buffer_std_s,lower,q-learning_minus_bola-basic,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,bola-basic,mean_objective_reward,higher,q-learning_minus_bola-basic,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,bola-basic,switch_count,lower,q-learning_minus_bola-basic,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,bola-basic,high_representation_fraction_percent,descriptive,q-learning_minus_bola-basic,5,0.0,0.0,0.0,0.0,0.0,False
overall_per_seed,all_evaluation_traces,bola-basic,startup_delay_s,lower,q-learning_minus_bola-basic,5,0.0,0.0,0.0,0.0,0.0,False
overall_per_seed,all_evaluation_traces,bola-basic,rebuffering_s,lower,q-learning_minus_bola-basic,5,0.0,0.0,0.0,0.0,0.0,False
overall_per_seed,all_evaluation_traces,bola-basic,rebuffering_rate_percent,lower,q-learning_minus_bola-basic,5,0.0,0.0,0.0,0.0,0.0,False
overall_per_seed,all_evaluation_traces,bola-basic,average_bitrate_kbps,higher,q-learning_minus_bola-basic,5,319.926666666667,292.05175346794937,362.57201291954175,-42.64534625287473,682.4986795862087,False
overall_per_seed,all_evaluation_traces,bola-basic,average_payload_bitrate_kbps,higher,q-learning_minus_bola-basic,5,352.98330642330694,322.22819891800566,400.03501199304117,-47.051705569734224,753.0183184163482,False
overall_per_seed,all_evaluation_traces,bola-basic,buffer_mean_s,descriptive,q-learning_minus_bola-basic,5,-0.0368779522430728,0.03366481053021535,0.04179368202230184,-0.07867163426537463,0.004915729779229043,False
overall_per_seed,all_evaluation_traces,bola-basic,buffer_std_s,lower,q-learning_minus_bola-basic,5,-0.03627839907557937,0.033117495873115646,0.04111421006375807,-0.07739260913933745,0.0048358109881787015,False
overall_per_seed,all_evaluation_traces,bola-basic,mean_objective_reward,higher,q-learning_minus_bola-basic,5,0.00822104278420852,0.007504750965210138,0.009316885215053932,-0.001095842430845411,0.017537927999262452,False
overall_per_seed,all_evaluation_traces,bola-basic,switch_count,lower,q-learning_minus_bola-basic,5,-0.6,0.5477225575051661,0.6799783525966101,-1.27997835259661,0.07997835259661012,False
overall_per_seed,all_evaluation_traces,bola-basic,high_representation_fraction_percent,descriptive,q-learning_minus_bola-basic,5,0.6666666666666667,0.6085806194501847,0.7555315028851225,-0.08886483621845576,1.4221981695517893,False
per_trace,evaluation_gradual,robust-mpc,startup_delay_s,lower,q-learning_minus_robust-mpc,5,-4.073320467934869,0.0,0.0,-4.073320467934869,-4.073320467934869,True
per_trace,evaluation_gradual,robust-mpc,rebuffering_s,lower,q-learning_minus_robust-mpc,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_gradual,robust-mpc,rebuffering_rate_percent,lower,q-learning_minus_robust-mpc,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_gradual,robust-mpc,average_bitrate_kbps,higher,q-learning_minus_robust-mpc,5,-7038.386666666667,876.1552604038482,1087.7160387586252,-8126.102705425293,-5950.670627908042,True
per_trace,evaluation_gradual,robust-mpc,average_payload_bitrate_kbps,higher,q-learning_minus_robust-mpc,5,-6677.052888732889,966.684596754017,1200.1050359791234,-7877.157924712013,-5476.947852753766,True
per_trace,evaluation_gradual,robust-mpc,buffer_mean_s,descriptive,q-learning_minus_robust-mpc,5,0.05229844430466794,0.10099443159064606,0.12538104606690553,-0.07308260176223759,0.1776794903715735,False
per_trace,evaluation_gradual,robust-mpc,buffer_std_s,lower,q-learning_minus_robust-mpc,5,-0.656662100010443,0.09935248761934694,0.12334263019127424,-0.7800047302017172,-0.5333194698191688,True
per_trace,evaluation_gradual,robust-mpc,mean_objective_reward,higher,q-learning_minus_robust-mpc,5,-0.09964791982538863,0.022514252895630412,0.027950655645161797,-0.12759857547055042,-0.07169726418022684,True
per_trace,evaluation_gradual,robust-mpc,switch_count,lower,q-learning_minus_robust-mpc,5,2.2,1.6431676725154984,2.0399350577898305,0.16006494221016965,4.239935057789831,True
per_trace,evaluation_gradual,robust-mpc,high_representation_fraction_percent,descriptive,q-learning_minus_robust-mpc,5,-14.666666666666666,1.8257418583505531,2.2665945086553667,-16.933261175322034,-12.4000721580113,True
per_trace,evaluation_bursty,robust-mpc,startup_delay_s,lower,q-learning_minus_robust-mpc,5,-14.43153098836188,0.0,0.0,-14.43153098836188,-14.43153098836188,True
per_trace,evaluation_bursty,robust-mpc,rebuffering_s,lower,q-learning_minus_robust-mpc,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_bursty,robust-mpc,rebuffering_rate_percent,lower,q-learning_minus_robust-mpc,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_bursty,robust-mpc,average_bitrate_kbps,higher,q-learning_minus_robust-mpc,5,-6398.533333333333,0.0,0.0,-6398.533333333333,-6398.533333333333,True
per_trace,evaluation_bursty,robust-mpc,average_payload_bitrate_kbps,higher,q-learning_minus_robust-mpc,5,-6270.975078975083,0.0,0.0,-6270.975078975083,-6270.975078975083,True
per_trace,evaluation_bursty,robust-mpc,buffer_mean_s,descriptive,q-learning_minus_robust-mpc,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_bursty,robust-mpc,buffer_std_s,lower,q-learning_minus_robust-mpc,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_bursty,robust-mpc,mean_objective_reward,higher,q-learning_minus_robust-mpc,5,-0.10407466868403015,0.0,0.0,-0.10407466868403015,-0.10407466868403015,True
per_trace,evaluation_bursty,robust-mpc,switch_count,lower,q-learning_minus_robust-mpc,5,-2.0,0.0,0.0,-2.0,-2.0,True
per_trace,evaluation_bursty,robust-mpc,high_representation_fraction_percent,descriptive,q-learning_minus_robust-mpc,5,-13.333333333333334,0.0,0.0,-13.333333333333334,-13.333333333333334,True
per_trace,evaluation_challenging,robust-mpc,startup_delay_s,lower,q-learning_minus_robust-mpc,5,-7.12138826754386,0.0,0.0,-7.12138826754386,-7.12138826754386,True
per_trace,evaluation_challenging,robust-mpc,rebuffering_s,lower,q-learning_minus_robust-mpc,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,robust-mpc,rebuffering_rate_percent,lower,q-learning_minus_robust-mpc,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,robust-mpc,average_bitrate_kbps,higher,q-learning_minus_robust-mpc,5,-6398.533333333333,0.0,0.0,-6398.533333333333,-6398.533333333333,True
per_trace,evaluation_challenging,robust-mpc,average_payload_bitrate_kbps,higher,q-learning_minus_robust-mpc,5,-6270.975078975083,0.0,0.0,-6270.975078975083,-6270.975078975083,True
per_trace,evaluation_challenging,robust-mpc,buffer_mean_s,descriptive,q-learning_minus_robust-mpc,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,robust-mpc,buffer_std_s,lower,q-learning_minus_robust-mpc,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,robust-mpc,mean_objective_reward,higher,q-learning_minus_robust-mpc,5,-0.1040746686840297,0.0,0.0,-0.1040746686840297,-0.1040746686840297,True
per_trace,evaluation_challenging,robust-mpc,switch_count,lower,q-learning_minus_robust-mpc,5,-2.0,0.0,0.0,-2.0,-2.0,True
per_trace,evaluation_challenging,robust-mpc,high_representation_fraction_percent,descriptive,q-learning_minus_robust-mpc,5,-13.333333333333334,0.0,0.0,-13.333333333333334,-13.333333333333334,True
overall_per_seed,all_evaluation_traces,robust-mpc,startup_delay_s,lower,q-learning_minus_robust-mpc,5,-8.542079907946869,0.0,0.0,-8.542079907946869,-8.542079907946869,True
overall_per_seed,all_evaluation_traces,robust-mpc,rebuffering_s,lower,q-learning_minus_robust-mpc,5,0.0,0.0,0.0,0.0,0.0,False
overall_per_seed,all_evaluation_traces,robust-mpc,rebuffering_rate_percent,lower,q-learning_minus_robust-mpc,5,0.0,0.0,0.0,0.0,0.0,False
overall_per_seed,all_evaluation_traces,robust-mpc,average_bitrate_kbps,higher,q-learning_minus_robust-mpc,5,-6611.817777777777,292.05175346794937,362.57201291954175,-6974.389790697319,-6249.245764858236,True
overall_per_seed,all_evaluation_traces,robust-mpc,average_payload_bitrate_kbps,higher,q-learning_minus_robust-mpc,5,-6406.334348894352,322.22819891800566,400.03501199304117,-6806.369360887393,-6006.299336901311,True
overall_per_seed,all_evaluation_traces,robust-mpc,buffer_mean_s,descriptive,q-learning_minus_robust-mpc,5,0.01743281476822265,0.03366481053021535,0.04179368202230184,-0.02436086725407919,0.05922649679052449,False
overall_per_seed,all_evaluation_traces,robust-mpc,buffer_std_s,lower,q-learning_minus_robust-mpc,5,-0.21888736667014763,0.033117495873115646,0.04111421006375807,-0.2600015767339057,-0.17777315660638957,True
overall_per_seed,all_evaluation_traces,robust-mpc,mean_objective_reward,higher,q-learning_minus_robust-mpc,5,-0.10259908573114948,0.007504750965210135,0.009316885215053928,-0.11191597094620341,-0.09328220051609555,True
overall_per_seed,all_evaluation_traces,robust-mpc,switch_count,lower,q-learning_minus_robust-mpc,5,-0.6,0.5477225575051661,0.6799783525966101,-1.27997835259661,0.07997835259661012,False
overall_per_seed,all_evaluation_traces,robust-mpc,high_representation_fraction_percent,descriptive,q-learning_minus_robust-mpc,5,-13.777777777777777,0.6085806194501834,0.7555315028851209,-14.533309280662898,-13.022246274892655,True
